aÃ±o,departamento,provincia,municipio,nivel,vuelta,coalicion,partido_lider,partido,siglas,votos
1962,LA VEGA,PROVINCIA DUARTE,CASTILLO,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,101
1962,LA VEGA,PROVINCIA DUARTE,CASTILLO,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,19
1962,LA VEGA,PROVINCIA DUARTE,CASTILLO,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,20
1962,LA VEGA,PROVINCIA DUARTE,CASTILLO,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,9
1962,LA VEGA,PROVINCIA DUARTE,CASTILLO,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"2,871"
1962,LA VEGA,PROVINCIA DUARTE,CASTILLO,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,PROVINCIA DUARTE,CASTILLO,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,"1,170"
1962,LA VEGA,PROVINCIA DUARTE,CASTILLO,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"4,249"
1962,LA VEGA,PROVINCIA DUARTE,CASTILLO,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,101
1962,LA VEGA,PROVINCIA DUARTE,PIMENTEL,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,18
1962,LA VEGA,PROVINCIA DUARTE,PIMENTEL,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,LA VEGA,PROVINCIA DUARTE,PIMENTEL,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,6
1962,LA VEGA,PROVINCIA DUARTE,PIMENTEL,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"2,218"
1962,LA VEGA,PROVINCIA DUARTE,PIMENTEL,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,PROVINCIA DUARTE,PIMENTEL,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,851
1962,LA VEGA,PROVINCIA DUARTE,PIMENTEL,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"2,267"
1962,LA VEGA,PROVINCIA DUARTE,PIMENTEL,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,NA
1962,LA VEGA,PROVINCIA DUARTE,PIMENTEL,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,18
1962,LA VEGA,PROVINCIA DUARTE,PIMENTEL,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,LA VEGA,PROVINCIA DUARTE,PIMENTEL,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,6
1962,LA VEGA,PROVINCIA DUARTE,PIMENTEL,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"2,218"
1962,LA VEGA,PROVINCIA DUARTE,PIMENTEL,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,PROVINCIA DUARTE,PIMENTEL,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,851
1962,LA VEGA,PROVINCIA DUARTE,PIMENTEL,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"2,267"
1962,LA VEGA,PROVINCIA DUARTE,PIMENTEL,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,NA
1962,LA VEGA,PROVINCIA DUARTE,SAN FRANCISCO DE MACORIS,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,537
1962,LA VEGA,PROVINCIA DUARTE,SAN FRANCISCO DE MACORIS,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,132
1962,LA VEGA,PROVINCIA DUARTE,SAN FRANCISCO DE MACORIS,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,67
1962,LA VEGA,PROVINCIA DUARTE,SAN FRANCISCO DE MACORIS,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"9,868"
1962,LA VEGA,PROVINCIA DUARTE,SAN FRANCISCO DE MACORIS,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,PROVINCIA DUARTE,SAN FRANCISCO DE MACORIS,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,"2,354"
1962,LA VEGA,PROVINCIA DUARTE,SAN FRANCISCO DE MACORIS,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"22,447"
1962,LA VEGA,PROVINCIA DUARTE,SAN FRANCISCO DE MACORIS,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,537
1962,LA VEGA,PROVINCIA DUARTE,SAN FRANCISCO DE MACORIS,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,537
1962,LA VEGA,PROVINCIA DUARTE,SAN FRANCISCO DE MACORIS,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,132
1962,LA VEGA,PROVINCIA DUARTE,SAN FRANCISCO DE MACORIS,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,67
1962,LA VEGA,PROVINCIA DUARTE,SAN FRANCISCO DE MACORIS,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"9,864"
1962,LA VEGA,PROVINCIA DUARTE,SAN FRANCISCO DE MACORIS,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,PROVINCIA DUARTE,SAN FRANCISCO DE MACORIS,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,"2,354"
1962,LA VEGA,PROVINCIA DUARTE,SAN FRANCISCO DE MACORIS,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"22,453"
1962,LA VEGA,PROVINCIA DUARTE,SAN FRANCISCO DE MACORIS,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,537
1962,LA VEGA,PROVINCIA DUARTE,VILLA RIVA,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,13
1962,LA VEGA,PROVINCIA DUARTE,VILLA RIVA,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,11
1962,LA VEGA,PROVINCIA DUARTE,VILLA RIVA,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,9
1962,LA VEGA,PROVINCIA DUARTE,VILLA RIVA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"3,916"
1962,LA VEGA,PROVINCIA DUARTE,VILLA RIVA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,PROVINCIA DUARTE,VILLA RIVA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,252
1962,LA VEGA,PROVINCIA DUARTE,VILLA RIVA,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"3,440"
1962,LA VEGA,PROVINCIA DUARTE,VILLA RIVA,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,162
1962,LA VEGA,PROVINCIA DUARTE,VILLA RIVA,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,13
1962,LA VEGA,PROVINCIA DUARTE,VILLA RIVA,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,11
1962,LA VEGA,PROVINCIA DUARTE,VILLA RIVA,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,9
1962,LA VEGA,PROVINCIA DUARTE,VILLA RIVA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"3,916"
1962,LA VEGA,PROVINCIA DUARTE,VILLA RIVA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,PROVINCIA DUARTE,VILLA RIVA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,252
1962,LA VEGA,PROVINCIA DUARTE,VILLA RIVA,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"3,440"
1962,LA VEGA,PROVINCIA DUARTE,VILLA RIVA,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,162
1962,LA VEGA,PROVINCIA ESPAILLAT,GASPAR HERNANDEZ,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,5
1962,LA VEGA,PROVINCIA ESPAILLAT,GASPAR HERNANDEZ,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,LA VEGA,PROVINCIA ESPAILLAT,GASPAR HERNANDEZ,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,16
1962,LA VEGA,PROVINCIA ESPAILLAT,GASPAR HERNANDEZ,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"4,874"
1962,LA VEGA,PROVINCIA ESPAILLAT,GASPAR HERNANDEZ,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,PROVINCIA ESPAILLAT,GASPAR HERNANDEZ,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,258
1962,LA VEGA,PROVINCIA ESPAILLAT,GASPAR HERNANDEZ,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"2,858"
1962,LA VEGA,PROVINCIA ESPAILLAT,GASPAR HERNANDEZ,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,NA
1962,LA VEGA,PROVINCIA ESPAILLAT,GASPAR HERNANDEZ,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,5
1962,LA VEGA,PROVINCIA ESPAILLAT,GASPAR HERNANDEZ,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,23
1962,LA VEGA,PROVINCIA ESPAILLAT,GASPAR HERNANDEZ,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,16
1962,LA VEGA,PROVINCIA ESPAILLAT,GASPAR HERNANDEZ,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"4,370"
1962,LA VEGA,PROVINCIA ESPAILLAT,GASPAR HERNANDEZ,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,PROVINCIA ESPAILLAT,GASPAR HERNANDEZ,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,258
1962,LA VEGA,PROVINCIA ESPAILLAT,GASPAR HERNANDEZ,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"2,858"
1962,LA VEGA,PROVINCIA ESPAILLAT,GASPAR HERNANDEZ,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,233
1962,LA VEGA,PROVINCIA ESPAILLAT,MOCA,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,103
1962,LA VEGA,PROVINCIA ESPAILLAT,MOCA,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,LA VEGA,PROVINCIA ESPAILLAT,MOCA,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,93
1962,LA VEGA,PROVINCIA ESPAILLAT,MOCA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"8,499"
1962,LA VEGA,PROVINCIA ESPAILLAT,MOCA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,PROVINCIA ESPAILLAT,MOCA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,"3,509"
1962,LA VEGA,PROVINCIA ESPAILLAT,MOCA,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"23,968"
1962,LA VEGA,PROVINCIA ESPAILLAT,MOCA,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,NA
1962,LA VEGA,PROVINCIA ESPAILLAT,MOCA,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,118
1962,LA VEGA,PROVINCIA ESPAILLAT,MOCA,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,60
1962,LA VEGA,PROVINCIA ESPAILLAT,MOCA,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,93
1962,LA VEGA,PROVINCIA ESPAILLAT,MOCA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"7,931"
1962,LA VEGA,PROVINCIA ESPAILLAT,MOCA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,PROVINCIA ESPAILLAT,MOCA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,"3,624"
1962,LA VEGA,PROVINCIA ESPAILLAT,MOCA,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"23,987"
1962,LA VEGA,PROVINCIA ESPAILLAT,MOCA,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,420
1962,LA VEGA,LA VEGA,CONSTANZA,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,407
1962,LA VEGA,LA VEGA,CONSTANZA,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,LA VEGA,LA VEGA,CONSTANZA,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,33
1962,LA VEGA,LA VEGA,CONSTANZA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"5,053"
1962,LA VEGA,LA VEGA,CONSTANZA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,LA VEGA,CONSTANZA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,112
1962,LA VEGA,LA VEGA,CONSTANZA,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,736
1962,LA VEGA,LA VEGA,CONSTANZA,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,NA
1962,LA VEGA,LA VEGA,CONSTANZA,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,434
1962,LA VEGA,LA VEGA,CONSTANZA,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,21
1962,LA VEGA,LA VEGA,CONSTANZA,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,33
1962,LA VEGA,LA VEGA,CONSTANZA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"4,903"
1962,LA VEGA,LA VEGA,CONSTANZA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,LA VEGA,CONSTANZA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,118
1962,LA VEGA,LA VEGA,CONSTANZA,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,746
1962,LA VEGA,LA VEGA,CONSTANZA,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,87
1962,LA VEGA,LA VEGA,JARABACOA,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,44
1962,LA VEGA,LA VEGA,JARABACOA,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,LA VEGA,LA VEGA,JARABACOA,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,27
1962,LA VEGA,LA VEGA,JARABACOA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"4,331"
1962,LA VEGA,LA VEGA,JARABACOA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,LA VEGA,JARABACOA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,"2,398"
1962,LA VEGA,LA VEGA,JARABACOA,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"2,846"
1962,LA VEGA,LA VEGA,JARABACOA,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,NA
1962,LA VEGA,LA VEGA,JARABACOA,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,44
1962,LA VEGA,LA VEGA,JARABACOA,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,16
1962,LA VEGA,LA VEGA,JARABACOA,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,27
1962,LA VEGA,LA VEGA,JARABACOA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"4,189"
1962,LA VEGA,LA VEGA,JARABACOA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,LA VEGA,JARABACOA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,"2,398"
1962,LA VEGA,LA VEGA,JARABACOA,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"2,846"
1962,LA VEGA,LA VEGA,JARABACOA,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,126
1962,LA VEGA,LA VEGA,LA VEGA,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,201
1962,LA VEGA,LA VEGA,LA VEGA,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,NA
1962,LA VEGA,LA VEGA,LA VEGA,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,194
1962,LA VEGA,LA VEGA,LA VEGA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"18,972"
1962,LA VEGA,LA VEGA,LA VEGA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,LA VEGA,LA VEGA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,"9,369"
1962,LA VEGA,LA VEGA,LA VEGA,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"21,190"
1962,LA VEGA,LA VEGA,LA VEGA,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,NA
1962,LA VEGA,LA VEGA,LA VEGA,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,213
1962,LA VEGA,LA VEGA,LA VEGA,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,107
1962,LA VEGA,LA VEGA,LA VEGA,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,199
1962,LA VEGA,LA VEGA,LA VEGA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"18,266"
1962,LA VEGA,LA VEGA,LA VEGA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,LA VEGA,LA VEGA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,"9,369"
1962,LA VEGA,LA VEGA,LA VEGA,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"21,782"
1962,LA VEGA,LA VEGA,LA VEGA,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,612
1962,LA VEGA,LA VEGA,MONSEÑOR NOEL,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,115
1962,LA VEGA,LA VEGA,MONSEÑOR NOEL,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,69
1962,LA VEGA,LA VEGA,MONSEÑOR NOEL,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,66
1962,LA VEGA,LA VEGA,MONSEÑOR NOEL,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"12,970"
1962,LA VEGA,LA VEGA,MONSEÑOR NOEL,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,LA VEGA,MONSEÑOR NOEL,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,"1,577"
1962,LA VEGA,LA VEGA,MONSEÑOR NOEL,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"3,941"
1962,LA VEGA,LA VEGA,MONSEÑOR NOEL,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,284
1962,LA VEGA,LA VEGA,MONSEÑOR NOEL,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,116
1962,LA VEGA,LA VEGA,MONSEÑOR NOEL,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,71
1962,LA VEGA,LA VEGA,MONSEÑOR NOEL,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,66
1962,LA VEGA,LA VEGA,MONSEÑOR NOEL,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"12,970"
1962,LA VEGA,LA VEGA,MONSEÑOR NOEL,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,LA VEGA,MONSEÑOR NOEL,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,"1,570"
1962,LA VEGA,LA VEGA,MONSEÑOR NOEL,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"3,934"
1962,LA VEGA,LA VEGA,MONSEÑOR NOEL,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,287
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,CABRERA,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,34
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,CABRERA,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,11
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,CABRERA,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,6
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,CABRERA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"7,030"
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,CABRERA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,CABRERA,NACIONAL,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,321
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,CABRERA,NACIONAL,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"2,373"
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,CABRERA,NACIONAL,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,137
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,CABRERA,OTRAS,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,34
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,CABRERA,OTRAS,NA,NA,NA,PARTIDO NACIONAL,NA,11
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,CABRERA,OTRAS,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,6
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,CABRERA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO,NA,"7,030"
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,CABRERA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO DOMINICANO AUTENTICO,NA,NA
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,CABRERA,OTRAS,NA,NA,NA,PARTIDO REVOLUCIONARIO SOCIAL CRISTIANO,NA,321
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,CABRERA,OTRAS,NA,NA,NA,PARTIDO UNION CIVICA NACIONAL,NA,"2,373"
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,CABRERA,OTRAS,NA,NA,NA,PARTIDO VANGUARDIA REVOLUCIONARIA DOMINICANA,NA,137
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,NAGUA,NACIONAL,NA,NA,NA,PARTIDO ALIANZA SOCIAL DEMOCRATA,NA,50
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,NAGUA,NACIONAL,NA,NA,NA,PARTIDO NACIONAL,NA,47
1962,LA VEGA,PROVINCIA MARIA TRINIDAD SANCHEZ,NAGUA,NACIONAL,NA,NA,NA,PARTIDO NACIONALISTA REVOCIONARIO DEMOCRATA,NA,31
